NO,DATE,TIME,FUNCTION,RANGE,SPEED,VALUE
98,2021-07-26,19:02:02:449046,DC VOLTAGE,50V,MEDIUM,4.219481
99,2021-07-26,19:02:07:466458,DC VOLTAGE,50V,MEDIUM,4.219852
100,2021-07-26,19:02:12:476494,DC VOLTAGE,50V,MEDIUM,4.21981
101,2021-07-26,19:02:17:484437,DC VOLTAGE,50V,MEDIUM,4.220241
102,2021-07-26,19:02:22:497398,DC VOLTAGE,50V,MEDIUM,4.220695
103,2021-07-26,19:02:27:511628,DC VOLTAGE,50V,MEDIUM,4.220821
104,2021-07-26,19:02:32:524443,DC VOLTAGE,50V,MEDIUM,4.221343
105,2021-07-26,19:02:37:526462,DC VOLTAGE,50V,MEDIUM,4.221421
106,2021-07-26,19:02:42:541274,DC VOLTAGE,50V,MEDIUM,4.221705
107,2021-07-26,19:02:47:550123,DC VOLTAGE,50V,MEDIUM,4.22189
108,2021-07-26,19:02:52:562478,DC VOLTAGE,50V,MEDIUM,4.222248
109,2021-07-26,19:02:57:566209,DC VOLTAGE,50V,MEDIUM,4.222581
110,2021-07-26,19:03:02:574492,DC VOLTAGE,50V,MEDIUM,4.222639
111,2021-07-26,19:03:07:581458,DC VOLTAGE,50V,MEDIUM,4.223279
112,2021-07-26,19:03:12:593302,DC VOLTAGE,50V,MEDIUM,4.223715
113,2021-07-26,19:03:17:595481,DC VOLTAGE,50V,MEDIUM,4.223706
114,2021-07-26,19:03:22:608479,DC VOLTAGE,50V,MEDIUM,4.223953
115,2021-07-26,19:03:27:611363,DC VOLTAGE,50V,MEDIUM,4.224187
116,2021-07-26,19:03:32:622984,DC VOLTAGE,50V,MEDIUM,4.224533
117,2021-07-26,19:03:37:638387,DC VOLTAGE,50V,MEDIUM,4.224877
118,2021-07-26,19:03:42:642800,DC VOLTAGE,50V,MEDIUM,4.22522
119,2021-07-26,19:03:47:659929,DC VOLTAGE,50V,MEDIUM,4.225564
120,2021-07-26,19:03:52:676451,DC VOLTAGE,50V,MEDIUM,4.225624
121,2021-07-26,19:03:57:688424,DC VOLTAGE,50V,MEDIUM,4.225958
122,2021-07-26,19:04:02:702264,DC VOLTAGE,50V,MEDIUM,4.226325
123,2021-07-26,19:04:07:716838,DC VOLTAGE,50V,MEDIUM,4.226707
124,2021-07-26,19:04:12:731411,DC VOLTAGE,50V,MEDIUM,4.226887
125,2021-07-26,19:04:17:736230,DC VOLTAGE,50V,MEDIUM,4.227137
126,2021-07-26,19:04:22:746327,DC VOLTAGE,50V,MEDIUM,4.227586
127,2021-07-26,19:04:27:760059,DC VOLTAGE,50V,MEDIUM,4.227682
128,2021-07-26,19:04:32:769692,DC VOLTAGE,50V,MEDIUM,4.227949
129,2021-07-26,19:04:37:778443,DC VOLTAGE,50V,MEDIUM,4.228693
130,2021-07-26,19:04:42:781099,DC VOLTAGE,50V,MEDIUM,4.228603
131,2021-07-26,19:04:47:791068,DC VOLTAGE,50V,MEDIUM,4.228796
132,2021-07-26,19:04:52:805424,DC VOLTAGE,50V,MEDIUM,4.229266
133,2021-07-26,19:04:57:821732,DC VOLTAGE,50V,MEDIUM,4.22973
134,2021-07-26,19:05:02:824439,DC VOLTAGE,50V,MEDIUM,4.229659
135,2021-07-26,19:05:07:835550,DC VOLTAGE,50V,MEDIUM,4.230016
136,2021-07-26,19:05:12:851371,DC VOLTAGE,50V,MEDIUM,4.230293
137,2021-07-26,19:05:17:863323,DC VOLTAGE,50V,MEDIUM,4.230679
138,2021-07-26,19:05:22:874447,DC VOLTAGE,50V,MEDIUM,4.231004
139,2021-07-26,19:05:27:890458,DC VOLTAGE,50V,MEDIUM,4.231175
140,2021-07-26,19:05:32:903274,DC VOLTAGE,50V,MEDIUM,4.231606
141,2021-07-26,19:05:37:908660,DC VOLTAGE,50V,MEDIUM,4.231719
142,2021-07-26,19:05:42:923337,DC VOLTAGE,50V,MEDIUM,4.232059
143,2021-07-26,19:05:47:935459,DC VOLTAGE,50V,MEDIUM,4.232432
144,2021-07-26,19:05:52:944421,DC VOLTAGE,50V,MEDIUM,4.232761
145,2021-07-26,19:05:57:953326,DC VOLTAGE,50V,MEDIUM,4.233085
146,2021-07-26,19:06:02:964188,DC VOLTAGE,50V,MEDIUM,4.233229
147,2021-07-26,19:06:07:969903,DC VOLTAGE,50V,MEDIUM,4.233487
148,2021-07-26,19:06:12:975472,DC VOLTAGE,50V,MEDIUM,4.233813
149,2021-07-26,19:06:17:984379,DC VOLTAGE,50V,MEDIUM,4.234108
150,2021-07-26,19:06:22:988491,DC VOLTAGE,50V,MEDIUM,4.234474
151,2021-07-26,19:06:28:000421,DC VOLTAGE,50V,MEDIUM,4.234586
152,2021-07-26,19:06:33:014420,DC VOLTAGE,50V,MEDIUM,4.23497
153,2021-07-26,19:06:38:030443,DC VOLTAGE,50V,MEDIUM,4.235136
154,2021-07-26,19:06:43:045435,DC VOLTAGE,50V,MEDIUM,4.235365
155,2021-07-26,19:06:48:051348,DC VOLTAGE,50V,MEDIUM,4.235586
156,2021-07-26,19:06:53:056289,DC VOLTAGE,50V,MEDIUM,4.235891
157,2021-07-26,19:06:58:068969,DC VOLTAGE,50V,MEDIUM,4.236377
158,2021-07-26,19:07:03:080106,DC VOLTAGE,50V,MEDIUM,4.236499
159,2021-07-26,19:07:08:083272,DC VOLTAGE,50V,MEDIUM,4.236957
160,2021-07-26,19:07:13:099451,DC VOLTAGE,50V,MEDIUM,4.237414
161,2021-07-26,19:07:18:116394,DC VOLTAGE,50V,MEDIUM,4.237688
162,2021-07-26,19:07:23:125447,DC VOLTAGE,50V,MEDIUM,4.237722
163,2021-07-26,19:07:28:142544,DC VOLTAGE,50V,MEDIUM,4.238114
164,2021-07-26,19:07:33:157493,DC VOLTAGE,50V,MEDIUM,4.238305
165,2021-07-26,19:07:38:171524,DC VOLTAGE,50V,MEDIUM,4.23836
166,2021-07-26,19:07:43:180449,DC VOLTAGE,50V,MEDIUM,4.238708
167,2021-07-26,19:07:48:198532,DC VOLTAGE,50V,MEDIUM,4.239103
168,2021-07-26,19:07:53:211834,DC VOLTAGE,50V,MEDIUM,4.239551
169,2021-07-26,19:07:58:226431,DC VOLTAGE,50V,MEDIUM,4.239756
170,2021-07-26,19:08:03:243294,DC VOLTAGE,50V,MEDIUM,4.239855
171,2021-07-26,19:08:08:255543,DC VOLTAGE,50V,MEDIUM,4.240495
172,2021-07-26,19:08:13:261433,DC VOLTAGE,50V,MEDIUM,4.240518
173,2021-07-26,19:08:18:268522,DC VOLTAGE,50V,MEDIUM,4.240851
174,2021-07-26,19:08:23:276565,DC VOLTAGE,50V,MEDIUM,4.240838
175,2021-07-26,19:08:28:286424,DC VOLTAGE,50V,MEDIUM,4.241425
176,2021-07-26,19:08:33:298587,DC VOLTAGE,50V,MEDIUM,4.241737
177,2021-07-26,19:08:38:305439,DC VOLTAGE,50V,MEDIUM,4.241946
178,2021-07-26,19:08:43:308538,DC VOLTAGE,50V,MEDIUM,4.242095
179,2021-07-26,19:08:48:325547,DC VOLTAGE,50V,MEDIUM,4.242543
180,2021-07-26,19:08:53:328409,DC VOLTAGE,50V,MEDIUM,4.242615
181,2021-07-26,19:08:58:335493,DC VOLTAGE,50V,MEDIUM,4.242911
182,2021-07-26,19:09:03:342772,DC VOLTAGE,50V,MEDIUM,4.243319
183,2021-07-26,19:09:08:348575,DC VOLTAGE,50V,MEDIUM,4.243617
184,2021-07-26,19:09:13:352415,DC VOLTAGE,50V,MEDIUM,4.243626
185,2021-07-26,19:09:18:369503,DC VOLTAGE,50V,MEDIUM,4.244058
186,2021-07-26,19:09:23:386455,DC VOLTAGE,50V,MEDIUM,4.244369
187,2021-07-26,19:09:28:393308,DC VOLTAGE,50V,MEDIUM,4.244755
188,2021-07-26,19:09:33:406437,DC VOLTAGE,50V,MEDIUM,4.245166
189,2021-07-26,19:09:38:409744,DC VOLTAGE,50V,MEDIUM,4.24519
190,2021-07-26,19:09:43:416225,DC VOLTAGE,50V,MEDIUM,4.245148
191,2021-07-26,19:09:48:432434,DC VOLTAGE,50V,MEDIUM,4.245611
192,2021-07-26,19:09:53:448487,DC VOLTAGE,50V,MEDIUM,4.245768
193,2021-07-26,19:09:58:458428,DC VOLTAGE,50V,MEDIUM,4.246463
194,2021-07-26,19:10:03:468437,DC VOLTAGE,50V,MEDIUM,4.246552
195,2021-07-26,19:10:08:471408,DC VOLTAGE,50V,MEDIUM,4.246809
196,2021-07-26,19:10:13:477471,DC VOLTAGE,50V,MEDIUM,4.247018
197,2021-07-26,19:10:18:494444,DC VOLTAGE,50V,MEDIUM,4.247325
198,2021-07-26,19:10:23:510425,DC VOLTAGE,50V,MEDIUM,4.247539
199,2021-07-26,19:10:28:526629,DC VOLTAGE,50V,MEDIUM,4.247756
200,2021-07-26,19:10:33:541855,DC VOLTAGE,50V,MEDIUM,4.248141
201,2021-07-26,19:10:38:552446,DC VOLTAGE,50V,MEDIUM,4.248449
202,2021-07-26,19:10:43:565606,DC VOLTAGE,50V,MEDIUM,4.248801
203,2021-07-26,19:10:48:578428,DC VOLTAGE,50V,MEDIUM,4.248669
204,2021-07-26,19:10:53:586578,DC VOLTAGE,50V,MEDIUM,4.249177
205,2021-07-26,19:10:58:603266,DC VOLTAGE,50V,MEDIUM,4.24958
206,2021-07-26,19:11:03:609458,DC VOLTAGE,50V,MEDIUM,4.249424
207,2021-07-26,19:11:08:620442,DC VOLTAGE,50V,MEDIUM,4.249887
208,2021-07-26,19:11:13:631822,DC VOLTAGE,50V,MEDIUM,4.250027
209,2021-07-26,19:11:18:649394,DC VOLTAGE,50V,MEDIUM,4.250245
210,2021-07-26,19:11:23:655804,DC VOLTAGE,50V,MEDIUM,4.250567
211,2021-07-26,19:11:28:671339,DC VOLTAGE,50V,MEDIUM,4.25102
212,2021-07-26,19:11:33:682013,DC VOLTAGE,50V,MEDIUM,4.251176
213,2021-07-26,19:11:38:687439,DC VOLTAGE,50V,MEDIUM,4.251728
214,2021-07-26,19:11:43:702877,DC VOLTAGE,50V,MEDIUM,4.251794
215,2021-07-26,19:11:48:714316,DC VOLTAGE,50V,MEDIUM,4.251781
216,2021-07-26,19:11:53:724792,DC VOLTAGE,50V,MEDIUM,4.252142
217,2021-07-26,19:11:58:727588,DC VOLTAGE,50V,MEDIUM,4.2525
218,2021-07-26,19:12:03:741908,DC VOLTAGE,50V,MEDIUM,4.252926
219,2021-07-26,19:12:08:756486,DC VOLTAGE,50V,MEDIUM,4.25298
220,2021-07-26,19:12:13:767387,DC VOLTAGE,50V,MEDIUM,4.253098
221,2021-07-26,19:12:18:768365,DC VOLTAGE,50V,MEDIUM,4.253488
222,2021-07-26,19:12:23:778931,DC VOLTAGE,50V,MEDIUM,4.253839
223,2021-07-26,19:12:28:785441,DC VOLTAGE,50V,MEDIUM,4.253635
224,2021-07-26,19:12:33:799814,DC VOLTAGE,50V,MEDIUM,4.254228
225,2021-07-26,19:12:38:803318,DC VOLTAGE,50V,MEDIUM,4.254558
226,2021-07-26,19:12:43:818704,DC VOLTAGE,50V,MEDIUM,4.254843
227,2021-07-26,19:12:48:835519,DC VOLTAGE,50V,MEDIUM,4.255095
228,2021-07-26,19:12:53:838447,DC VOLTAGE,50V,MEDIUM,4.255288
229,2021-07-26,19:12:58:846433,DC VOLTAGE,50V,MEDIUM,4.255437
230,2021-07-26,19:13:03:849642,DC VOLTAGE,50V,MEDIUM,4.255875
231,2021-07-26,19:13:08:859905,DC VOLTAGE,50V,MEDIUM,4.255989
232,2021-07-26,19:13:13:865371,DC VOLTAGE,50V,MEDIUM,4.256347
233,2021-07-26,19:13:18:877472,DC VOLTAGE,50V,MEDIUM,4.256467
234,2021-07-26,19:13:23:887963,DC VOLTAGE,50V,MEDIUM,4.256796
235,2021-07-26,19:13:28:892505,DC VOLTAGE,50V,MEDIUM,4.257175
236,2021-07-26,19:13:33:905439,DC VOLTAGE,50V,MEDIUM,4.257226
237,2021-07-26,19:13:38:920907,DC VOLTAGE,50V,MEDIUM,4.257524
238,2021-07-26,19:13:43:924413,DC VOLTAGE,50V,MEDIUM,4.257634
239,2021-07-26,19:13:48:938527,DC VOLTAGE,50V,MEDIUM,4.257972
240,2021-07-26,19:13:53:952003,DC VOLTAGE,50V,MEDIUM,4.258377
241,2021-07-26,19:13:58:966806,DC VOLTAGE,50V,MEDIUM,4.258497
242,2021-07-26,19:14:03:973525,DC VOLTAGE,50V,MEDIUM,4.258791
243,2021-07-26,19:14:08:989034,DC VOLTAGE,50V,MEDIUM,4.259211
244,2021-07-26,19:14:13:996290,DC VOLTAGE,50V,MEDIUM,4.259364
245,2021-07-26,19:14:18:999666,DC VOLTAGE,50V,MEDIUM,4.259622
246,2021-07-26,19:14:24:002502,DC VOLTAGE,50V,MEDIUM,4.259641
247,2021-07-26,19:14:29:017393,DC VOLTAGE,50V,MEDIUM,4.26011
248,2021-07-26,19:14:34:033000,DC VOLTAGE,50V,MEDIUM,4.260508
249,2021-07-26,19:14:39:042257,DC VOLTAGE,50V,MEDIUM,4.260382
250,2021-07-26,19:14:44:046559,DC VOLTAGE,50V,MEDIUM,4.260701
251,2021-07-26,19:14:49:058572,DC VOLTAGE,50V,MEDIUM,4.260945
252,2021-07-26,19:14:54:072514,DC VOLTAGE,50V,MEDIUM,4.261227
253,2021-07-26,19:14:59:082125,DC VOLTAGE,50V,MEDIUM,4.261635
254,2021-07-26,19:15:04:090476,DC VOLTAGE,50V,MEDIUM,4.261901
255,2021-07-26,19:15:09:104089,DC VOLTAGE,50V,MEDIUM,4.262027
256,2021-07-26,19:15:14:117736,DC VOLTAGE,50V,MEDIUM,4.26228
257,2021-07-26,19:15:19:131331,DC VOLTAGE,50V,MEDIUM,4.262366
258,2021-07-26,19:15:24:139382,DC VOLTAGE,50V,MEDIUM,4.262799
259,2021-07-26,19:15:29:144413,DC VOLTAGE,50V,MEDIUM,4.26279
260,2021-07-26,19:15:34:150969,DC VOLTAGE,50V,MEDIUM,4.263214
261,2021-07-26,19:15:39:170606,DC VOLTAGE,50V,MEDIUM,4.263626
262,2021-07-26,19:15:44:183248,DC VOLTAGE,50V,MEDIUM,4.263883
263,2021-07-26,19:15:49:196507,DC VOLTAGE,50V,MEDIUM,4.263957
264,2021-07-26,19:15:54:212026,DC VOLTAGE,50V,MEDIUM,4.263997
265,2021-07-26,19:15:59:227348,DC VOLTAGE,50V,MEDIUM,4.264556
266,2021-07-26,19:16:04:232260,DC VOLTAGE,50V,MEDIUM,4.264638
267,2021-07-26,19:16:09:237426,DC VOLTAGE,50V,MEDIUM,4.264809
268,2021-07-26,19:16:14:255158,DC VOLTAGE,50V,MEDIUM,4.26512
269,2021-07-26,19:16:19:261946,DC VOLTAGE,50V,MEDIUM,4.26537
270,2021-07-26,19:16:24:277417,DC VOLTAGE,50V,MEDIUM,4.265318
271,2021-07-26,19:16:29:280252,DC VOLTAGE,50V,MEDIUM,4.265834
272,2021-07-26,19:16:34:290621,DC VOLTAGE,50V,MEDIUM,4.265992
273,2021-07-26,19:16:39:298964,DC VOLTAGE,50V,MEDIUM,4.266367
274,2021-07-26,19:16:44:304418,DC VOLTAGE,50V,MEDIUM,4.266678
275,2021-07-26,19:16:49:317341,DC VOLTAGE,50V,MEDIUM,4.266685
276,2021-07-26,19:16:54:323333,DC VOLTAGE,50V,MEDIUM,4.267
277,2021-07-26,19:16:59:328567,DC VOLTAGE,50V,MEDIUM,4.267253
278,2021-07-26,19:17:04:339723,DC VOLTAGE,50V,MEDIUM,4.267415
279,2021-07-26,19:17:09:348955,DC VOLTAGE,50V,MEDIUM,4.2677
280,2021-07-26,19:17:14:353343,DC VOLTAGE,50V,MEDIUM,4.26796
281,2021-07-26,19:17:19:356329,DC VOLTAGE,50V,MEDIUM,4.26818
282,2021-07-26,19:17:24:372257,DC VOLTAGE,50V,MEDIUM,4.268358
283,2021-07-26,19:17:29:377239,DC VOLTAGE,50V,MEDIUM,4.268566
284,2021-07-26,19:17:34:390001,DC VOLTAGE,50V,MEDIUM,4.268646
285,2021-07-26,19:17:39:392343,DC VOLTAGE,50V,MEDIUM,4.269052
286,2021-07-26,19:17:44:396409,DC VOLTAGE,50V,MEDIUM,4.269454
287,2021-07-26,19:17:49:401234,DC VOLTAGE,50V,MEDIUM,4.269768
288,2021-07-26,19:17:54:415869,DC VOLTAGE,50V,MEDIUM,4.269693
289,2021-07-26,19:17:59:428627,DC VOLTAGE,50V,MEDIUM,4.27005
290,2021-07-26,19:18:04:442288,DC VOLTAGE,50V,MEDIUM,4.270034
291,2021-07-26,19:18:09:449903,DC VOLTAGE,50V,MEDIUM,4.270329
292,2021-07-26,19:18:14:463469,DC VOLTAGE,50V,MEDIUM,4.270555
293,2021-07-26,19:18:19:477143,DC VOLTAGE,50V,MEDIUM,4.270726
294,2021-07-26,19:18:24:491718,DC VOLTAGE,50V,MEDIUM,4.271192
295,2021-07-26,19:18:29:504428,DC VOLTAGE,50V,MEDIUM,4.271332
296,2021-07-26,19:18:34:522647,DC VOLTAGE,50V,MEDIUM,4.271759
297,2021-07-26,19:18:39:534020,DC VOLTAGE,50V,MEDIUM,4.271633
298,2021-07-26,19:18:44:538631,DC VOLTAGE,50V,MEDIUM,4.271991
299,2021-07-26,19:18:49:551475,DC VOLTAGE,50V,MEDIUM,4.272159
300,2021-07-26,19:18:54:556348,DC VOLTAGE,50V,MEDIUM,4.272417
301,2021-07-26,19:18:59:567992,DC VOLTAGE,50V,MEDIUM,4.272459
302,2021-07-26,19:19:04:585200,DC VOLTAGE,50V,MEDIUM,4.272913
303,2021-07-26,19:19:09:600117,DC VOLTAGE,50V,MEDIUM,4.273039
304,2021-07-26,19:19:14:605972,DC VOLTAGE,50V,MEDIUM,4.273433
305,2021-07-26,19:19:19:612612,DC VOLTAGE,50V,MEDIUM,4.27356
306,2021-07-26,19:19:24:620112,DC VOLTAGE,50V,MEDIUM,4.273806
307,2021-07-26,19:19:29:631144,DC VOLTAGE,50V,MEDIUM,4.274068
308,2021-07-26,19:19:34:637936,DC VOLTAGE,50V,MEDIUM,4.274177
309,2021-07-26,19:19:39:645718,DC VOLTAGE,50V,MEDIUM,4.274499
310,2021-07-26,19:19:44:660113,DC VOLTAGE,50V,MEDIUM,4.274474
311,2021-07-26,19:19:49:674534,DC VOLTAGE,50V,MEDIUM,4.274949
312,2021-07-26,19:19:54:691621,DC VOLTAGE,50V,MEDIUM,4.275159
313,2021-07-26,19:19:59:708453,DC VOLTAGE,50V,MEDIUM,4.275525
314,2021-07-26,19:20:04:717929,DC VOLTAGE,50V,MEDIUM,4.27553
315,2021-07-26,19:20:09:733262,DC VOLTAGE,50V,MEDIUM,4.275752
316,2021-07-26,19:20:14:738414,DC VOLTAGE,50V,MEDIUM,4.275866
317,2021-07-26,19:20:19:753253,DC VOLTAGE,50V,MEDIUM,4.276144
318,2021-07-26,19:20:24:765862,DC VOLTAGE,50V,MEDIUM,4.276511
319,2021-07-26,19:20:29:769673,DC VOLTAGE,50V,MEDIUM,4.276706
320,2021-07-26,19:20:34:776766,DC VOLTAGE,50V,MEDIUM,4.276789
321,2021-07-26,19:20:39:795406,DC VOLTAGE,50V,MEDIUM,4.277078
322,2021-07-26,19:20:44:805946,DC VOLTAGE,50V,MEDIUM,4.27724
323,2021-07-26,19:20:49:812823,DC VOLTAGE,50V,MEDIUM,4.27735
324,2021-07-26,19:20:54:817557,DC VOLTAGE,50V,MEDIUM,4.277746
