NO,DATE,TIME,FUNCTION,RANGE,SPEED,VALUE
1,2021-07-26,18:53:56:419952,DC VOLTAGE,50V,MEDIUM,2.645204
2,2021-07-26,18:54:01:428867,DC VOLTAGE,50V,MEDIUM,3.438427
3,2021-07-26,18:54:06:438839,DC VOLTAGE,50V,MEDIUM,3.545542
4,2021-07-26,18:54:11:448818,DC VOLTAGE,50V,MEDIUM,3.610665
5,2021-07-26,18:54:16:459583,DC VOLTAGE,50V,MEDIUM,3.663258
6,2021-07-26,18:54:21:468597,DC VOLTAGE,50V,MEDIUM,3.723016
7,2021-07-26,18:54:26:472036,DC VOLTAGE,50V,MEDIUM,3.776826
8,2021-07-26,18:54:31:478550,DC VOLTAGE,50V,MEDIUM,3.853315
9,2021-07-26,18:54:36:491457,DC VOLTAGE,50V,MEDIUM,3.905552
10,2021-07-26,18:54:41:501748,DC VOLTAGE,50V,MEDIUM,3.951355
11,2021-07-26,18:54:46:515370,DC VOLTAGE,50V,MEDIUM,4.001137
12,2021-07-26,18:54:51:529514,DC VOLTAGE,50V,MEDIUM,4.035531
13,2021-07-26,18:54:56:546381,DC VOLTAGE,50V,MEDIUM,4.066632
14,2021-07-26,18:55:01:558173,DC VOLTAGE,50V,MEDIUM,4.09459
15,2021-07-26,18:55:06:562441,DC VOLTAGE,50V,MEDIUM,4.12844
16,2021-07-26,18:55:11:576512,DC VOLTAGE,50V,MEDIUM,4.151866
17,2021-07-26,18:55:16:584407,DC VOLTAGE,50V,MEDIUM,4.174002
18,2021-07-26,18:55:21:595447,DC VOLTAGE,50V,MEDIUM,4.198419
19,2021-07-26,18:55:26:603253,DC VOLTAGE,50V,MEDIUM,4.212968
20,2021-07-26,18:55:31:613923,DC VOLTAGE,50V,MEDIUM,4.222486
21,2021-07-26,18:55:36:622689,DC VOLTAGE,50V,MEDIUM,4.228259
22,2021-07-26,18:55:41:634255,DC VOLTAGE,50V,MEDIUM,4.228309
23,2021-07-26,18:55:46:644430,DC VOLTAGE,50V,MEDIUM,4.227108
24,2021-07-26,18:55:51:658073,DC VOLTAGE,50V,MEDIUM,4.225255
25,2021-07-26,18:55:56:661678,DC VOLTAGE,50V,MEDIUM,4.222511
26,2021-07-26,18:56:01:667433,DC VOLTAGE,50V,MEDIUM,4.220842
27,2021-07-26,18:56:06:682077,DC VOLTAGE,50V,MEDIUM,4.219274
28,2021-07-26,18:56:11:687462,DC VOLTAGE,50V,MEDIUM,4.217661
29,2021-07-26,18:56:16:704519,DC VOLTAGE,50V,MEDIUM,4.216654
30,2021-07-26,18:56:21:720443,DC VOLTAGE,50V,MEDIUM,4.215853
31,2021-07-26,18:56:26:738709,DC VOLTAGE,50V,MEDIUM,4.214999
32,2021-07-26,18:56:31:751217,DC VOLTAGE,50V,MEDIUM,4.214284
33,2021-07-26,18:56:36:760385,DC VOLTAGE,50V,MEDIUM,4.213738
34,2021-07-26,18:56:41:773142,DC VOLTAGE,50V,MEDIUM,4.212804
35,2021-07-26,18:56:46:785262,DC VOLTAGE,50V,MEDIUM,4.212572
36,2021-07-26,18:56:51:795007,DC VOLTAGE,50V,MEDIUM,4.211935
37,2021-07-26,18:56:56:812281,DC VOLTAGE,50V,MEDIUM,4.211786
38,2021-07-26,18:57:01:822497,DC VOLTAGE,50V,MEDIUM,4.211225
39,2021-07-26,18:57:06:839205,DC VOLTAGE,50V,MEDIUM,4.210846
40,2021-07-26,18:57:11:842546,DC VOLTAGE,50V,MEDIUM,4.210672
41,2021-07-26,18:57:16:853800,DC VOLTAGE,50V,MEDIUM,4.210394
42,2021-07-26,18:57:21:858622,DC VOLTAGE,50V,MEDIUM,4.210213
43,2021-07-26,18:57:26:868525,DC VOLTAGE,50V,MEDIUM,4.210138
44,2021-07-26,18:57:31:875456,DC VOLTAGE,50V,MEDIUM,4.210085
45,2021-07-26,18:57:36:881133,DC VOLTAGE,50V,MEDIUM,4.209358
46,2021-07-26,18:57:41:894440,DC VOLTAGE,50V,MEDIUM,4.209626
47,2021-07-26,18:57:46:901020,DC VOLTAGE,50V,MEDIUM,4.20952
48,2021-07-26,18:57:51:910418,DC VOLTAGE,50V,MEDIUM,4.209387
49,2021-07-26,18:57:56:926439,DC VOLTAGE,50V,MEDIUM,4.209607
50,2021-07-26,18:58:01:928850,DC VOLTAGE,50V,MEDIUM,4.209672
51,2021-07-26,18:58:06:945460,DC VOLTAGE,50V,MEDIUM,4.209531
52,2021-07-26,18:58:11:960462,DC VOLTAGE,50V,MEDIUM,4.20953
53,2021-07-26,18:58:16:977418,DC VOLTAGE,50V,MEDIUM,4.209668
54,2021-07-26,18:58:21:985495,DC VOLTAGE,50V,MEDIUM,4.209756
55,2021-07-26,18:58:26:990380,DC VOLTAGE,50V,MEDIUM,4.209613
56,2021-07-26,18:58:32:007653,DC VOLTAGE,50V,MEDIUM,4.209688
57,2021-07-26,18:58:37:024404,DC VOLTAGE,50V,MEDIUM,4.209899
58,2021-07-26,18:58:42:038630,DC VOLTAGE,50V,MEDIUM,4.209852
59,2021-07-26,18:58:47:042835,DC VOLTAGE,50V,MEDIUM,4.210135
60,2021-07-26,18:58:52:060450,DC VOLTAGE,50V,MEDIUM,4.210425
61,2021-07-26,18:58:57:069639,DC VOLTAGE,50V,MEDIUM,4.210597
62,2021-07-26,18:59:02:083167,DC VOLTAGE,50V,MEDIUM,4.210546
63,2021-07-26,18:59:07:086314,DC VOLTAGE,50V,MEDIUM,4.210935
64,2021-07-26,18:59:12:096545,DC VOLTAGE,50V,MEDIUM,4.210925
65,2021-07-26,18:59:17:111407,DC VOLTAGE,50V,MEDIUM,4.211025
66,2021-07-26,18:59:22:120448,DC VOLTAGE,50V,MEDIUM,4.211279
67,2021-07-26,18:59:27:137767,DC VOLTAGE,50V,MEDIUM,4.211605
68,2021-07-26,18:59:32:142011,DC VOLTAGE,50V,MEDIUM,4.211549
69,2021-07-26,18:59:37:156462,DC VOLTAGE,50V,MEDIUM,4.212016
70,2021-07-26,18:59:42:162063,DC VOLTAGE,50V,MEDIUM,4.211888
71,2021-07-26,18:59:47:175444,DC VOLTAGE,50V,MEDIUM,4.212424
72,2021-07-26,18:59:52:178449,DC VOLTAGE,50V,MEDIUM,4.212678
73,2021-07-26,18:59:57:183289,DC VOLTAGE,50V,MEDIUM,4.212635
74,2021-07-26,19:00:02:192478,DC VOLTAGE,50V,MEDIUM,4.212972
75,2021-07-26,19:00:07:203314,DC VOLTAGE,50V,MEDIUM,4.213048
76,2021-07-26,19:00:12:218564,DC VOLTAGE,50V,MEDIUM,4.213515
77,2021-07-26,19:00:17:234351,DC VOLTAGE,50V,MEDIUM,4.213835
78,2021-07-26,19:00:22:240077,DC VOLTAGE,50V,MEDIUM,4.214111
79,2021-07-26,19:00:27:246424,DC VOLTAGE,50V,MEDIUM,4.214147
80,2021-07-26,19:00:32:263318,DC VOLTAGE,50V,MEDIUM,4.214313
81,2021-07-26,19:00:37:266522,DC VOLTAGE,50V,MEDIUM,4.214532
82,2021-07-26,19:00:42:277568,DC VOLTAGE,50V,MEDIUM,4.215242
83,2021-07-26,19:00:47:281354,DC VOLTAGE,50V,MEDIUM,4.215136
84,2021-07-26,19:00:52:293304,DC VOLTAGE,50V,MEDIUM,4.215523
85,2021-07-26,19:00:57:297988,DC VOLTAGE,50V,MEDIUM,4.215605
86,2021-07-26,19:01:02:309467,DC VOLTAGE,50V,MEDIUM,4.215945
87,2021-07-26,19:01:07:317452,DC VOLTAGE,50V,MEDIUM,4.216147
88,2021-07-26,19:01:12:327465,DC VOLTAGE,50V,MEDIUM,4.216353
89,2021-07-26,19:01:17:337780,DC VOLTAGE,50V,MEDIUM,4.216869
90,2021-07-26,19:01:22:354502,DC VOLTAGE,50V,MEDIUM,4.217179
91,2021-07-26,19:01:27:371353,DC VOLTAGE,50V,MEDIUM,4.217498
92,2021-07-26,19:01:32:378464,DC VOLTAGE,50V,MEDIUM,4.217919
93,2021-07-26,19:01:37:388443,DC VOLTAGE,50V,MEDIUM,4.217926
94,2021-07-26,19:01:42:403331,DC VOLTAGE,50V,MEDIUM,4.218161
95,2021-07-26,19:01:47:414465,DC VOLTAGE,50V,MEDIUM,4.218571
96,2021-07-26,19:01:52:428437,DC VOLTAGE,50V,MEDIUM,4.21878
97,2021-07-26,19:01:57:435382,DC VOLTAGE,50V,MEDIUM,4.218917
